
aerodrome,Летище
arts_centre,Център за изкуства
atm,Банкомат
auditorium,Аудитория
bank,Банка
bar,Бар
bench,Пейка
bicycle_parking,Паркинг за велосипеди
bicycle_rental,Велосипеди под наем
brothel,Бордей
bureau_de_change,Обменно бюро
bus_station,Автобусна спирка
cafe,Кафене
car_rental,Автомобили под наем
car_sharing,Споделяне на автомобили
car_wash,Автомивка
casino,Казино
cinema,Кино
clinic,Поликлиника
club,Клуб
college,Колеж
community_centre,Обществен център
courthouse,Съд
crematorium,Крематориум
dentist,Стоматология
doctors,Лекар
dormitory,Общежитие
drinking_water,Чешма
driving_school,Авто-школа
embassy,Посолство
emergency_phone,Телефон за спешни случаи
fast_food,Бързо хранене
ferry_terminal,Ферибот
fire_hydrant,Пожарен кран
fire_station,Пожарна
fountain,Фонтан
fuel,Бензиностанция
grave_yard,Гробище
gym,Фитнес
hall,Зала
health_centre,Медицински център
hospital,Болница
hotel,Хотел
hunting_stand,Ловна вишка
ice_cream,Сладолед
kindergarten,Детска градина
library,Библиотека
market,Магазин
marketplace,Пазар
mountain_rescue,Планинска спасителна служба
nightclub,Нощен клуб
nursery,Пансион
nursing_home,Социален дом
office,Офис
park,Парк
parking,Паркинг
pharmacy,Аптека
place_of_worship,Място за богослужение
police,Полиция
post_box,Пощенска кутия
post_office,Поща
preschool,Предучилищна градина
prison,Затвор
pub,Пъб
public_building,Обществено здание
public_market,Пазар
reception_area,Приемна
recycling,Рециклиране
restaurant,Ресторант
retirement_home,Старчески дом
sauna,Сауна
school,Училище
shelter,Подслон
shop,Магазин
shopping,Търговски център
social_club,Клуб по интереси
studio,Студио
supermarket,Супермаркет
taxi,Такси
telephone,Телефон
theatre,Театър
toilets,Тоалетни
townhall,Кметство
university,Университет
vending_machine,Автомат за стоки
veterinary,Ветеринарен кабинет
waste_basket,Кошче за отпадъци
wifi,Безжичен интернет
youth_centre,Младежки център
