
10pin,Bowling
9pin,Kegeln
abandoned,aufgegebene Bahnstrecke
accountant,Buchhaltungsbüro
adit,Stollen
administrative_city,Stadt
administrative_continent,Kontinent
administrative_country,Land
administrative_county,Bezirk
administrative_farm,Bauernhof
administrative_hamlet,Weiler
administrative_island,Insel
administrative_isolated_dwelling,Einzelsiedlung
administrative_locality,unbewohnter Ort
administrative_neighbourhood,Stadtviertel
administrative_ocean,Ozean
administrative_region,Region
administrative_sea,Meer
administrative_state,Bundesland
administrative_suburb,Stadtteil
administrative_town,Kleinstadt
administrative,Verwaltungsgrenze
administrative_village,Dorf
aed,Defibrillator
aerialway_cable_car,Seilbahn
aerialway_chair_lift,Sessellift
aerialway_drag_lift,Schlepplift
aerialway_gondola,Gondel
aerialway_goods,Güterseilbahn
aerialway_mixed_lift,Hybrid-Lift
aerialway_station,Seilbahnstation
aerodrome,Flugfeld
aeroway_apron,Vorfeld
aeroway_gate,Flughafen-Gate
aeroway_runway,Start-/Landebahn
aeroway_taxiway,Rollbahn
airfield,Militärflugplatz
airport,Flughafen
alcohol,Spirituosenladen
allotments,Kleingartenanlage
alpine_hut,Berghütte
ambulance_station,Rettungswache
american_football,American Football
anchorage,Ankerplatz
anchor_berth,Ankerplatz
antenna,Antenne
apartments,Wohnblock
apparel,Bekleidungsgeschäft
archaeological_site,Ausgrabungsstätte
archery,Bogenschießen
architect,Architekt
art,Kunsthandlung
arts_centre,Kulturzentrum
artwork,Kunstwerk
athletics,Leichtathletik
atm,Geldautomat
attraction,Attraktion
auditorium,Hörsaal
australian_football,Australian Football
baby_hatch,Babyklappe
badminton,Badminton
bakery,Bäckerei
bank,Bank
bar,Bar
bare_rock,nackter Felsen
barracks,Kaserne
barrier_block,Steinbarriere
barrier_entrance,Eingang
baseball,Baseball
base,Objektspringen
basin,Becken
basketball,Basketball
battlefield,Schlachtfeld
bay,Bucht
bbq,Grillplatz
beach_resort,Badeort
beach,Strand
beachvolleyball,Beachvolleyball
beacon,Leuchtfeuer
beauty,Schönheitspflege
bed_and_breakfast,Unterkunft
bench,Sitzbank
beverages,Getränkemarkt
bicycle,Fahrradladen
bicycle_parking,Fahrradparkplatz
bicycle_rental,Fahrradverleih
biergarten,Biergarten
billboard,Werbefläche
bird_hide,Vogelbeobachtung
bitcoin_yes,Bitcoin
bmx,BMX
boat_sharing,Boat Sharing
boatyard,Werft
bollard,Poller
books,Buchhandlung
boules,Boule
boundary_stone,Grenzstein
boutique,Modehaus
bowls,Bowls
boxing,Boxen
breakwater,Wellenbrecher
brewery,Brauerei
bridge,Brücke
bridleway,Reitweg
brothel,Bordell
brownfield,Brachfläche
building,Gebäude
bunker,Bunker
bureau_de_change,Wechselstube
bus_guideway,Busspur
bus_station,Busbahnhof
bus_stop,Bushaltestelle
butcher,Fleischerei
byway,Umgehungsstraße
cabin,Hütte
cable_distribution_cabinet,Kabelverteilerschrank
cafe,Café
camp_site,Campingplatz
canadian_football,Canadian Football
canal,Kanal
canoe,Kanadier
cape,Kap
car,Autohaus
caravan_site,Wohnmobil-Stellplatz
car_dealer,Autohaus
car_parts,Autoteilehändler
carpenter,Schreinerei
carpet,Teppichgeschäft
car_rental,Autovermietung
car_repair,Autowerkstatt
car_sharing,Carsharing
car_wash,Autowaschanlage
casino,Casino
castle,Burg
cattle_grid,Weiderost
cave_entrance,Höhleneingang
cemetery,Friedhof
chain,Kette
chalet,Ferienhaus
channel,Kanal
chapel,Kapelle
charging_station,Ladestation
charity,Sozialkaufhaus
chemist,Drogerie
chess,Schach
chimney,Schornstein
church,Kirche
cinema,Kino
city_gate,Stadttor
city_hall,Rathaus
city_wall,Stadtmauer
cliff,Klippe
climbing,Klettern
clock,öffentliche Uhr
clothes,Bekleidungsgeschäft
club,Verein
coast_guard,Küstenwache
coastline,Küstenlinie
college,Hochschule
commercial,Gewerbegebiet
common,Gemeindeland
communications_tower,Fernmeldeturm
community_centre,Gemeinschaftszentrum
company,Firma
compressed_air,Druckluft
computer,Computergeschäft
confectionery,Süßwarengeschäft
connector,Wasserstraßenverbindung
conservation,Naturschutzgebiet
construction,Baustelle
convenience,Tante-Emma-Laden
copyshop,Copyshop
