aerodrome,Aérodrome
ambulance_station,Station d'ambulances
fire_extinguisher,Extincteur
phone,Téléphone de secours
siren,Sirène d'alerte
ses_station,Association Australienne d'aide d'urgence (SES)
water_tank, Réserve d'eau anti-incendie
first_aid,Premiers secours
fire_hose,Tuyau d'incendie
arts_centre,Centre artistique
atm,Distributeur automatique de billets
atm,Distributeur de billets
auditorium,Auditorium
bank,Banque
bar,Bar
bench,Banc
bicycle_parking,Parking à vélos
bicycle_rental,Location de vélos
boat_sharing,Partage de voiliers
brothel,Maison de prostitution
bureau_de_change,Bureau de change
bus_station,Gare routière
cafe,Café
car_rental,Location de voitures
car_sharing,Autopartage
car_wash,Lavage de voitures
laundry,Blanchisserie
casino,Casino
cinema,Cinéma
clinic,Clinique
club,Club
college,Enseignement supérieur
community_centre,Salle polyvalente
courthouse,Palais de justice
crematorium,Crématorium
dentist,Dentiste
doctors,Médecin
dormitory,Résidence étudiante
drinking_water,Eau potable
driving_school,École de conduite
embassy,Ambassade
emergency_phone,Téléphone d'urgence
fast_food,Restauration rapide
ferry_terminal,Terminal de ferry
fire_hydrant,Bouche d'incendie
fire_station,Caserne de pompiers
fountain,Fontaine
fuel,Carburant
grave_yard,Cimetière
gym,Fitness
gym,Salle de gymnastique
hall,Salle
health_centre,Centre de santé
hospital,Hôpital
hotel,Hôtel
hunting_stand,Affût surélevé
ice_cream,Crème glacée
kindergarten,Petite enfance
library,Bibliothèque
market,Marché
marketplace,Marché
mountain_rescue,Secours en montagne
nightclub,Boîte de nuit
nursery,Nurserie
nursery,Nurseries
nursing_home,Maison de santé
office,Bureau
park,Parc
parking,Parking
pharmacy,Pharmacie
place_of_worship,Lieu de culte
police,Police
post_box,Boîtes aux lettres
post_office,Bureau de poste
preschool,Préscolaire
prison,Prison
pub,Bar
public_building,Bâtiment public
public_market,Marché public
reception_area,Zone de réception
recycling,Collecte sélective des déchets
restaurant,Restaurant
retirement_home,Maison de retraite
sauna,Sauna
school,École
shelter,Abri
shop,Magasin
shopping,Commerce
social_club,Club social
social_centre,Communauté
stripclub,Club de strip-tease
studio,Studio d'enregistrement
supermarket,Supermarché
taxi,Taxi
telephone,Téléphone public
theatre,Théâtre
toilets,Toilettes
townhall,Hôtel de ville
university,Université
vending_machine,Distributeur automatique
veterinary,Vétérinaire
village_hall,Salle communale
waste_basket,Corbeille publique
waste_disposal,Bac à ordures ménagères
wifi,Accès WiFi
youth_centre,Centre pour la jeunesse
administrative,Administration
apartments,Immeuble
block,Bloc
bunker,Casemate
chapel,Chapelle
church,Église
city_hall,Hôtel de ville
commercial,Bâtiment de bureaux
dormitory,Dortoir
entrance,Ouverture
faculty,Bâtiment de faculté
farm,Bâtiment de ferme
flats,Appartements
garage,Garage
hall,Salle
hospital,Hôpital
hotel,Hôtel
house,Maison
industrial,Bâtiment industriel
office,Bâtiment de bureaux
public,Bâtiment public
residential,Bâtiment résidentiel
retail,Magasin
food_court,Aire de restauration
shop,Magasin
stadium,Stade
store,Magasin
terrace,Terrasse
tower,Tour
train_station,Gare ferroviaire
university,Université
