aerodrome,Letisko
arts_centre,Kultúrne stredisko
atm,Bankomat
bank,Banka
sustenance_bar,Bar
bench,Lavička
bicycle_parking,Parkovisko bicyklov
bicycle_rental,Požičovňa bicyklov
brothel,Nevestinec
bureau_de_change,Zmenáreň
bus_station,Autobusová stanica
car_rental,Požičovňa áut
car_sharing,Zdieľanie áut
car_wash,Autoumyváreň
casino,Kasíno
cinema,Kino
clinic,Poliklinika
club,Klub
community_centre,Kultúrne stredisko
courthouse,Súd
crematorium,Krematórium
dentist,Zubár
dormitory,Študentský domov
drinking_water,Pitná voda
driving_school,Autoškola
embassy,Veľvyslanectvo
emergency_phone,Núdzový telefón
sustenance_fast_food,Rýchle občerstvenie
ferry_terminal,Terminál trajektu
fire_hydrant,Požiarny hydrant
fire_station,Požiarna stanica
fountain,Fontána
fuel,Benzínová pumpa
grave_yard,Cintorín
gym,Fitnes centrum/telocvičňa
health_centre,Zdravotné stredisko
hospital,Nemocnica
hotel,Hotel
hunting_stand,Poľovnícky posed
ice_cream,Zmrzlina
market,Obchod
marketplace,Tržnica
mountain_rescue,Horská služba
nightclub,Nočný klub
nursery,Jasle
nursing_home,Sanatórium
office,Úrad/kancelárie
office_government,Vládne orgány
park,Park
parking,Parkovisko
parking_entrance,Vjazd do parkoviska
pharmacy,Lekáreň
place_of_worship,Náboženské miesto
police,Polícia
post_box,Poštová schránka
post_office,Pošta
preschool,Škôlka
prison,Väzenie
public_building,Verejná budova
recycling,Recyklačné miesto
sustenance_cafe,Kaviareň
sustenance_pub,Krčma
sustenance_restaurant,Reštaurácia
retirement_home,Domov dôchodcov
sauna,Sauna
shelter,Prístrešok
social_club,Spoločenský klub
studio,Ateliér
supermarket,Supermarket
taxi,Taxi
telephone,Verejný telefón
theatre,Divadlo
toilets,WC
townhall,Radnica
vending_machine,Predajný automat
veterinary,Veterinárna ordinácia
waste_basket,Odpadkový kôš
waste_disposal,Zhromaždisko odpadu
youth_centre,Mládežnícke centrum
administrative,Administratívne hranice
military_bunker,Bunker
building,Budova
building_apartments,Bytový dom
building_cabin,Malá chata
building_chapel,Kaplnka
building_church,Kostol
building_commercial,Komerčná budova
building_dormitory,Študentský domov
building_faculty,Budova fakulty
building_farm,Hospodárska budova
building_garage,Garáž
building_garages,Garáže
building_hall,Hala/sála
building_hospital,Nemocničná budova
building_hotel,Hotel
building_house,Dom
building_industrial,Priemyselná budova
building_office,Administratívna budova
building_public,Verejná budova
building_residential,Obytná budova
building_retail,Maloobchod
building_school,Škola
building_stadium,Štadión
building_terrace,Radová zástavba
building_train_station,Železničná stanica
building_university,Univerzitné budovy
building_yes,Budova
bridleway,Cesta pre kone
bus_guideway,Koľaje pre autobus
bus_stop,Zastávka autobusu
stop_position,Zastávka
byway,Poľná cesta
construction,Cesta vo výstavbe
cycleway,Cyklistický chodník
distance_marker,Distance Marker (kilometrovník)
emergency_access_point,Stanica prvej pomoci
footway,Chodník
entrance,Priechod
highway_ford,Brod
living_street,Obytná zóna
minor,Vedľajšia cesta
motorway,Diaľnica
motorway_junction,Diaľničná križovatka
motorway_link,Prípojka diaľnice
path,Cestička
pedestrian,Pešia zóna
platform,Nástupište
primary,Cesta I. triedy
primary_link,Prípojka cesty I. triedy
residential,Ulica
road,Cesta
secondary,Cesta II. triedy
secondary_link,Prípojka cesty II. triedy
service,Prístupová komunikácia
steps,Schody
