route_is;La ruta té
route_calculate;S'ha recalculat la ruta
distance;distància
after;després de
in;d'aquí a 
left;gireu a l'esquerra
left_sh;feu un gir tancat a l'esquerra
left_sl;gireu lleugerament a l'esquerra
right;gireu a la dreta
right_sh;feu un gir tancat a la dreta
right_sl;gireu lleugerament a la dreta
left_keep;manteniu-vos a l'esquerra
right_keep;manteniu-vos a la dreta
left_bear;continueu per l'esquerra
right_bear;continueu per la dreta
make_uturn;feu mitja volta
make_uturn_wp;quan pugueu, feu mitja volta
prepare_roundabout;entreu a la rotonda
roundabout;entreu a la rotonda
then;i...
and;i...
take;agafeu
exit;sortida
the_exit;la sortida
1st;la primera
2nd;la segona
3rd;la tercera
4th;la quarta
5th;la cinquena
6th;la sisena
7th;la setena
8th;la vuitena
9th;la novena
10th;la desena
11th;l'onzena
12th;la dotzena
13th;la tretzena
14th;la catorzena
15th;la quinzena
16th;la setzena
17th;la dissetena
go_ahead;continueu recte
follow;continueu per la via durant
and_arrive_destination;i arribareu a la vostra destinació
reached_destination;heu arribat a la vostra destinació
and_arrive_intermediate;i arribareu al vostre punt intermedi
reached_intermediate;heu arribat al vostre punt intermedi
and_arrive_waypoint;i passareu pel vostre punt G P ics intermedi
reached_waypoint;esteu passant pel vostre punt G P ics intermedi
and_arrive_favorite;i passareu pel vostre punt preferit
reached_favorite;esteu passant pel vostre punt preferit
and_arrive_poi;i passareu pel P D I
reached_poi;esteu passant pel P D I
exceed_limit;límit de velocitat
attention;atenció
speed_camera;radar de velocitat
border_control;control fronterer
railroad_crossing;pas a nivell
traffic_calming;ressalt
toll_booth;barrera de peatge
stop;senyal d'estop
pedestrian_crosswalk;pas de vianants
tunnel;túnel
location_lost;s'ha perdut el senyal del G P S
location_recovered;s'ha recuperat el senyal del G P S
off_route;us heu desviat de la ruta
back_on_route;heu tornat a la ruta
onto;en direcció a
on;per
to;cap a
toward;cap a
meters;metres
around_1_kilometer;aproximadament un quilòmetre
around;aproximadament
kilometers;quilòmetres
feet;peus
tenths_of_a_mile;dècimes de milla
around_1_mile;aproximadament una milla
miles;milles
yards;iardes
time;temps necessari
1_hour;una hora
hours;hores
less_a_minute;menys d'un minut
1_minute;un minut
minutes;minuts
1_masc;un
1_fem;una
2_masc;dos
2_fem;dues
3;tres
4;quatre
5;cinc
6;sis
7;set
8;vuit
9;nou
10;deu
11;onze
12;dotze
13;tretze
14;catorze
15;quinze
16;setze
17;disset
18;divuit
19;dinou
20;vint
20_and;vinti
30;trenta
40;quaranta
50;cinquanta
60;seixanta
70;setanta
80;vuitanta
90;noranta
100;cent
200_masc;dos-cents
200_fem;dues-centes
300_masc;tres-cents
300_fem;tres-centes
400_masc;quatre-cents
400_fem;quatre-centes
500_masc;cinc-cents
500_fem;cinc-centes
600_masc;sis-cents
600_fem;sis-centes
700_masc;set-cents
700_fem;set-centes
800_masc;vuit-cents
800_fem;vuit-centes
900_masc;nou-cents
900_fem;nou-centes
1000;mil
