route_is.ogg,Il viaggio è lungo
route_calculate.ogg,Ricalcolo percorso 
distance.ogg,  lunghezza
prepare.ogg,prepararsi a
after.ogg,tra
after1.ogg,fra
left.ogg,girare a sinistra
left_sh.ogg,subito a sinistra
left_sl.ogg,girare leggermente a sinistra
right.ogg,girare a dèstra
right_sh.ogg,subito a dèstra
right_sl.ogg,girate leggermente a dèstra
left_keep.ogg,tenersi sulla sinistra
right_keep.ogg,tenersi sulla dèstra
prepare_make_uturn.ogg,Prepararsi ad una inversione ad u tra
make_uturn.ogg,inversione a u
make_uturn_wp.ogg,Quando possibile fate inversione a u
prepare_roundabout.ogg,entrerete in una rotonda
roundabout.ogg,entrate nella rotonda
then.ogg,  poi
and.ogg,e
take.ogg,prendete la
exit.ogg,uscita
1st.ogg,prima
2nd.ogg,seconda
3rd.ogg,terza
4th.ogg,quarta
5th.ogg,quinta
6th.ogg,sesta
7th.ogg,settima
8th.ogg,ottava
9th.ogg,nona
10th.ogg,decima
11th.ogg,undicesima
12th.ogg,dodicesima
13th.ogg,tredicesima
14th.ogg,quattordicesima
15th.ogg,quindicesima
16th.ogg,sedicesima
17th.ogg,diciassettesima
go_ahead.ogg,Continuate dritto
follow.ogg,Proseguite per
and_arrive_destination.ogg,e arrivate a destinazione
reached_destination.ogg,arrivato a destinazione
and_arrive_intermediate.ogg,e arrivate a punto intermedio
reached_intermediate.ogg,arrivato al punto intermedio
and_arrive_waypoint.ogg,e arrivate al punto intermedio
reached_waypoint.ogg,arrivato al punto intermedio
attention.ogg,attenzione  
location_lost.ogg,Segnale GPS perso
location_recovered.ogg,Segnale GPS restaurato
off_route.ogg,avete deviato dalla rotta
exceed_limit.ogg,superato il limite di velocità
onto.ogg,in
to.ogg,su
meters.ogg,metri
around_1_kilometer.ogg,circa un chilometro
around.ogg,circa
kilometers.ogg,chilometri
feet.ogg,piede
1_tenth_of_a_mile.ogg,un decimo di miglio
tenths_of_a_mile.ogg,decimi di miglio
around_1_mile.ogg,circa 1 miglio
miles.ogg,miglia
yards.ogg,iarde
time.ogg,tempo necessario 
1_hour.ogg,un ora 
hours.ogg,ore 
less_a_minute.ogg,meno di un minuto 
1_minute.ogg,un minuto 
minutes.ogg,minuti 
1.ogg,1
2.ogg,2
3.ogg,3
4.ogg,4
5.ogg,5
6.ogg,6
7.ogg,7
8.ogg,8
9.ogg,9
10.ogg,10
11.ogg,11
12.ogg,12
13.ogg,13
14.ogg,14
15.ogg,15
16.ogg,16
17.ogg,17
18.ogg,18
19.ogg,19
20.ogg,20
25.ogg,25
30.ogg,30
35.ogg,35
40.ogg,40
45.ogg,45
50.ogg,50
55.ogg,55
60.ogg,60
65.ogg,65
70.ogg,70
75.ogg,75
80.ogg,80
85.ogg,85
90.ogg,90
95.ogg,95
100.ogg,100
150.ogg,150
200.ogg,200
250.ogg,250
300.ogg,300
350.ogg,350
400.ogg,400
450.ogg,450
500.ogg,500
550.ogg,550
600.ogg,600
650.ogg,650
700.ogg,700
750.ogg,750
800.ogg,800
850.ogg,850
900.ogg,900
1000.ogg,1000
2000.ogg,2000
3000.ogg,3000
4000.ogg,4000
5000.ogg,5000
6000.ogg,6000
7000.ogg,7000
8000.ogg,8000
9000.ogg,9000
