route_is.ogg,A rota possui 
route_calculate.ogg,Rota recalculada. 
distance.ogg, Distância é de 
prepare.ogg,Prepare-se para 
after.ogg,após 
left.ogg,vire à esquerda 
left_sh.ogg,vire acentuadamente à esquerda 
left_sl.ogg,vire ligeiramente à esquerda 
right.ogg,vire à direita 
right_sh.ogg,vire acentuadamente à direita 
right_sl.ogg,vire ligeiramente à direita 
left_keep.ogg,mantenha-se à esquerda 
right_keep.ogg,mantenha-se à direita 
left_bear.ogg,mantenha-se à esquerda 
right_bear.ogg,mantenha-se à direita 
left_imp.ogg,virar à esquerda 
left_sh_imp.ogg,virar acentuadamente à esquerda 
left_sl_imp.ogg,virar ligeiramente à esquerda 
right_imp.ogg,virar à direita 
right_sh_imp.ogg,virar acentuadamente à direita 
right_sl_imp.ogg,virar ligeiramente à direita 
left_keep_imp.ogg,manter-se à esquerda
right_keep_imp.ogg,manter-se à direita
left_bear_imp.ogg,mantenha-se à esquerda 
right_bear_imp.ogg,mantenha-se à direita 
prepare_make_uturn.ogg,Prepare-se para retornar após 
make_uturn.ogg,faça um retorno 
make_uturn_wp.ogg,Retorne assim que possível 
prepare_roundabout.ogg,Prepare-se para entrar na rotatória após 
roundabout.ogg,entre na rotatória e pegue a 
then.ogg,então 
and.ogg,e 
take.ogg,pegue a 
exit.ogg,saída 
1st.ogg,primeira 
2nd.ogg,segunda 
3rd.ogg,terceira 
4th.ogg,quarta 
5th.ogg,quinta 
6th.ogg,sexta 
7th.ogg,sétima 
8th.ogg,oitava 
9th.ogg,nona 
10th.ogg,décima 
11th.ogg,décima primeira 
12th.ogg,décima segunda 
13th.ogg,décima terceira 
14th.ogg,décima quarta 
15th.ogg,décima quinta 
16th.ogg,décima sexta 
17th.ogg,décima sétima 
go_ahead.ogg,Siga em frente 
follow.ogg,Siga o caminho por 
and_arrive_destination.ogg,e chegou ao seu destino 
reached_destination.ogg,você chegou ao seu destino 
and_arrive_intermediate.ogg,e chegou ao seu ponto de passagem 
reached_intermediate.ogg,você chegou ao seu ponto de passagem 
and_arrive_waypoint.ogg,e chegou ao seu ponto de GPX 
reached_waypoint.ogg,você chegou ao seu ponto de GPX 
attention.ogg,atenção
location_lost.ogg,sem sinal g p s 
off_route.ogg,você se desviou da rota para 
exceed_limit.ogg,você estiver excedendo o limite de velocidade 
onto.ogg,para 
meters.ogg,metros 
around_1_kilometer.ogg,aproximadamente um quilômetro 
around.ogg,aproximadamente 
kilometers.ogg,quilômetros 
feet.ogg,pés 
1_tenth_of_a_mile.ogg,one tenth of a mile 
tenths_of_a_mile.ogg,um décimo de uma milha 
around_1_mile.ogg,cerca de 1 milha 
miles.ogg,milhas 
yards.ogg,jardas 
time.ogg,tempo é 
1_hour.ogg,uma hora 
hours.ogg,horas 
less_a_minute.ogg,menos de um minuto 
1_minute.ogg,um minuto 
minutes.ogg,minutos 
1.ogg,1
2.ogg,2
3.ogg,3
4.ogg,4
5.ogg,5
6.ogg,6
7.ogg,7
8.ogg,8
9.ogg,9
10.ogg,10
11.ogg,11
12.ogg,12
13.ogg,13
14.ogg,14
15.ogg,15
16.ogg,16
17.ogg,17
18.ogg,18
19.ogg,19
20.ogg,20
25.ogg,25
30.ogg,30
35.ogg,35
40.ogg,40
45.ogg,45
50.ogg,50
55.ogg,55
60.ogg,60
65.ogg,65
70.ogg,70
75.ogg,75
80.ogg,80
85.ogg,85
90.ogg,90
95.ogg,95
100.ogg,100
150.ogg,150
200.ogg,200
250.ogg,250
300.ogg,300
350.ogg,350
400.ogg,400
450.ogg,450
500.ogg,500
550.ogg,550
600.ogg,600
650.ogg,650
700.ogg,700
750.ogg,750
800.ogg,800
850.ogg,850
900.ogg,900
1000.ogg,1000
2000.ogg,2000
3000.ogg,3000
4000.ogg,4000
5000.ogg,5000
6000.ogg,6000
7000.ogg,7000
8000.ogg,8000
9000.ogg,9000
