route_is.ogg,Su biàgiu est
route_calculate.ogg,Ricàlculu àndala 
distance.ogg,  longària
prepare.ogg,preparadebos a
after.ogg,pustis de
after1.ogg,pustis de
left.ogg,bortare a manca
left_sh.ogg,luego a manca
left_sl.ogg,bortare de pagu a manca
right.ogg,bortare a destra
right_sh.ogg,luego a dèstra
right_sl.ogg,bortare de pagu a destra
left_keep.ogg,mantènnere sa manca
right_keep.ogg,mantènnere sa destra
prepare_make_uturn.ogg,Preparadebos a una furriadura a U
make_uturn.ogg,furriadura a u
make_uturn_wp.ogg,In su primu momentu possìbile, fàghere una furriada a u
prepare_roundabout.ogg,ais a intrare in una rutunda
roundabout.ogg,intrade in sa rutunda
then.ogg,  pustis
and.ogg,e
take.ogg,pigade sa
exit.ogg,essida
1st.ogg,prima
2nd.ogg,seconda
3rd.ogg,terza
4th.ogg,cuarta
5th.ogg,cuinta
6th.ogg,sesta
7th.ogg,sètima
8th.ogg,otava
9th.ogg,nona
10th.ogg,dètzima
11th.ogg,undighèsima
12th.ogg,doighèsima
13th.ogg,treighèsima
14th.ogg,batordighèsima
15th.ogg,bindighèsima
16th.ogg,seighèsima
17th.ogg,deghesetèsima
go_ahead.ogg,Sighide deretu
follow.ogg,Sighide pro
and_arrive_destination.ogg,e arribades a destinatzione
reached_destination.ogg,arribadu a destinatzione
and_arrive_intermediate.ogg,e arribades a su puntu mesanu
reached_intermediate.ogg,e arribades a su puntu mesanu
and_arrive_waypoint.ogg,e arribades a su puntu mesanu
reached_waypoint.ogg,arribadu a su puntu mesanu
attention.ogg,atentzione 
location_lost.ogg,Sinnale GPS pèrdidu
location_recovered.ogg,Sinnale GPS torradu
off_route.ogg,seis essidos dae s'àndala
exceed_limit.ogg,barigadu su lìmite de lestresa
onto.ogg,in
to.ogg,pro
meters.ogg,metros
around_1_kilometer.ogg,pagu prus o mancu unu chilòmetru
around.ogg,pagu prus o mancu
kilometers.ogg,chilòmetros
feet.ogg,pedes
1_tenth_of_a_mile.ogg,unu dètzimu de mìgliu
tenths_of_a_mile.ogg,dètzimos de mìgliu
around_1_mile.ogg,pagu prus o mancu 1 mìgliu
miles.ogg,mìglios
yards.ogg,iardas
time.ogg,tempus netzessàriu 
1_hour.ogg,un ora 
hours.ogg,oras 
less_a_minute.ogg,de mancu de unu minutu 
1_minute.ogg,unu minutu 
minutes.ogg,minutos 
1.ogg,1
2.ogg,2
3.ogg,3
4.ogg,4
5.ogg,5
6.ogg,6
7.ogg,7
8.ogg,8
9.ogg,9
10.ogg,10
11.ogg,11
12.ogg,12
13.ogg,13
14.ogg,14
15.ogg,15
16.ogg,16
17.ogg,17
18.ogg,18
19.ogg,19
20.ogg,20
25.ogg,25
30.ogg,30
35.ogg,35
40.ogg,40
45.ogg,45
50.ogg,50
55.ogg,55
60.ogg,60
65.ogg,65
70.ogg,70
75.ogg,75
80.ogg,80
85.ogg,85
90.ogg,90
95.ogg,95
100.ogg,100
150.ogg,150
200.ogg,200
250.ogg,250
300.ogg,300
350.ogg,350
400.ogg,400
450.ogg,450
500.ogg,500
550.ogg,550
600.ogg,600
650.ogg,650
700.ogg,700
750.ogg,750
800.ogg,800
850.ogg,850
900.ogg,900
1000.ogg,1000
2000.ogg,2000
3000.ogg,3000
4000.ogg,4000
5000.ogg,5000
6000.ogg,6000
7000.ogg,7000
8000.ogg,8000
9000.ogg,9000
