route_is1.ogg,路程
route_is2.ogg,遠
route_calculate.ogg,已重新計算路綫
distance.ogg,距離
prepare.ogg,請準備 
after.ogg,後
in.ogg,在
left.ogg,左轉 
left_sh.ogg,向左急轉 
left_sl.ogg,稍向左轉 
right.ogg,右轉 
right_sh.ogg,向右急轉 
right_sl.ogg,稍向右轉 
left_keep.ogg,靠左 
right_keep.ogg,靠右 
prepare_make_uturn.ogg,準備掉頭
make_uturn1.ogg,後請掉頭
make_uturn2.ogg,請掉頭
make_uturn_wp.ogg,可能的話  請掉頭
prepare_roundabout.ogg,後進入迴旋處
roundabout.ogg,後進入迴旋處 然後在
then.ogg,然後 
and.ogg,同 
take.ogg,在
exit.ogg,出口離開
1st.ogg,第一個 
2nd.ogg,第二個 
3rd.ogg,第三個 
4th.ogg,第四個 
5th.ogg,第五個 
6th.ogg,第六個 
7th.ogg,第七個 
8th.ogg,第八個 
9th.ogg,第九個 
10th.ogg,第十個 
11th.ogg,第十一個 
12th.ogg,第十二個 
13th.ogg,第十三個 
14th.ogg,第十四個 
15th.ogg,第十五個 
16th.ogg,第十六個 
17th.ogg,第十七個 
go_ahead.ogg,一直向前行
follow.ogg,繼續向前行
and_arrive_destination.ogg,並到達目的地
reached_destination.ogg,你已到達目的地
and_arrive_intermediate.ogg,並到達中途點
reached_intermediate.ogg,你已到達中途點 
and_arrive_waypoint.ogg,並到達GPX航點
reached_waypoint.ogg,你已到達GPX航點
and_arrive_favorite.ogg,並到達收藏點
reached_favorite.ogg,你已到達收藏點
and_arrive_poi.ogg,並到達興趣點
reached_poi.ogg,你已到達興趣點
exceed_limit.ogg,你已超速
attention.ogg,注意
speed_camera.ogg,快相機
border_control.ogg,邊境管制
railroad_crossing.ogg,鐵路平交道
traffic_calming.ogg,減低交通流量措施
toll_booth.ogg,收費站
stop.ogg,停止標誌
pedestrian_crosswalk.ogg,行人過路處
location_lost.ogg,接收不到GPS號 
location_recovered.ogg,GPS信號已恢復 
off_route.ogg,你已偏離原來路線 
back_on_route.ogg,你已返回原來路線
onto.ogg,到
on.ogg,到
to.ogg,到
toward.ogg,向
meters.ogg,公尺
around_1_kilometer.ogg,約一公里 
around.ogg,約 
kilometers.ogg,公里 
feet.ogg,英呎
1_tenth_of_a_mile.ogg,零點一英里
tenths_of_a_mile.ogg,零點一英里
around_1_mile.ogg,約一英里
miles.ogg,英里
yards.ogg,英碼
time.ogg,所需時間
1_hour.ogg,一小時
hours.ogg,小時
less_a_minute.ogg,不到一分鐘
1_minute.ogg,一分鐘
minutes.ogg,分鐘
1.ogg,1
2.ogg,2
3.ogg,3
4.ogg,4
5.ogg,5
6.ogg,6
7.ogg,7
8.ogg,8
9.ogg,9
10.ogg,10
11.ogg,11
12.ogg,12
13.ogg,13
14.ogg,14
15.ogg,15
16.ogg,16
17.ogg,17
18.ogg,18
19.ogg,19
20.ogg,20
25.ogg,25
30.ogg,30
35.ogg,35
40.ogg,40
45.ogg,45
50.ogg,50
55.ogg,55
60.ogg,60
65.ogg,65
70.ogg,70
75.ogg,75
80.ogg,80
85.ogg,85
90.ogg,90
95.ogg,95
100.ogg,100
150.ogg,150
200.ogg,200
250.ogg,250
300.ogg,300
350.ogg,350
400.ogg,400
450.ogg,450
500.ogg,500
550.ogg,550
600.ogg,600
650.ogg,650
700.ogg,700
750.ogg,750
800.ogg,800
850.ogg,850
900.ogg,900
1000.ogg,1000
2000.ogg,2000
3000.ogg,3000
4000.ogg,4000
5000.ogg,5000
6000.ogg,6000
7000.ogg,7000
8000.ogg,8000
9000.ogg,9000
